Tract,neighborhood,Labor Force,Unemployed,Employed,Family Poverty,No HS,Some HS,HS Graduates,Bachelors Degree,Grad/Prof Degree,Private Health Ins,Public Health Ins,No Health Ins,No Vehicles,One Vehicle,Two Vehicles,Three+ Vehicles,Drive Alone,Carpooled,Walked,Other means,WFH,Public Transit,Total Population,Male,Female,Census Tract Number,Life Expectancy,Life Expectancy Standard Error,NAME10,Life Expectancy_abvavg,Life_Expectancy_Difference,Unemployed_cat_10-15%,Unemployed_cat_15-20%,Unemployed_cat_20-25%,Unemployed_cat_25 or more,Unemployed_cat_5-10%,Unemployed_cat_less than 5%,sex_cat_More Men,sex_cat_More Women,vehicle_cat_No Vehicles,vehicle_cat_One Vehicle,vehicle_cat_Three+ Vehicles,vehicle_cat_Two Vehicles,transport_cat_Carpooled,transport_cat_Drive Alone,transport_cat_Public Transit,transport_cat_Walked,education_cat_Bachelors Degree,education_cat_Grad/Prof Degree,education_cat_HS Graduates,education_cat_No HS,education_cat_Some HS,health_ins_cat_No Health Ins,health_ins_cat_Private Health Ins,health_ins_cat_Public Health Ins,area_Central,area_Far North Side,area_Far South Side,area_Far Southwest Side,area_North Side,area_Northwest Side,area_South Side,area_Southwest Side,area_West Side
241000.0,WEST TOWN,1051.0,4.7,59.2,27.1,19.2,8.7,19.1,24.7,11.5,42.6,46.6,12.8,20.8,57.3,18.5,3.5,49.5,9.1,4.5,8.2,4.8,24.0,2102.0,47.1,52.9,2410.0,70.8,1.7351,2410.0,0,-5.959305729820173,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
241100.0,WEST TOWN,2931.0,8.8,78.5,24.5,6.3,4.5,15.6,38.0,13.6,57.5,24.5,18.3,25.7,46.2,20.5,7.6,44.7,3.9,9.1,7.9,6.3,28.1,4062.0,54.4,45.6,2411.0,76.4,2.8955,2411.0,0,-0.3593057298201643,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
242000.0,WEST TOWN,3347.0,5.8,71.7,12.3,13.6,6.5,12.2,36.6,16.1,64.6,27.8,13.4,30.7,44.4,21.0,3.9,34.7,10.4,4.7,6.8,4.5,38.9,4920.0,51.9,48.1,2420.0,77.2,3.0129,2420.0,1,0.44069427017983287,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
242100.0,WEST TOWN,2796.0,4.4,86.6,0.9,2.6,1.6,5.9,50.8,31.1,83.5,7.8,9.8,16.6,57.9,22.3,3.2,38.0,6.7,4.4,3.9,8.8,38.2,3509.0,54.1,45.9,2421.0,75.9,3.1402,2421.0,0,-0.8593057298201643,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
250600.0,AUSTIN,2120.0,10.0,48.1,14.5,7.9,17.3,30.6,7.8,6.0,47.4,42.5,18.9,19.1,34.9,38.1,8.0,70.2,2.0,0.0,1.3,5.4,21.1,4370.0,46.0,54.0,2506.0,77.7,2.8642,2506.0,1,0.9406942701798329,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51300.0,NORTH CENTER,1920.0,3.8,86.3,2.7,0.5,0.5,3.8,51.4,35.1,95.6,6.0,1.6,3.1,44.9,45.2,6.8,62.2,4.9,0.4,3.4,9.9,19.1,2794.0,51.8,48.2,513.0,81.2,3.0854666666666666,513.0,1,4.440694270179833,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
63200.0,LAKE VIEW,4783.0,4.0,71.9,11.9,1.1,1.6,5.1,40.8,38.7,86.4,17.6,6.0,44.4,43.3,9.1,3.1,20.6,5.0,5.9,3.2,10.8,54.6,6942.0,46.7,53.3,632.0,81.96666666666667,2.704266666666667,632.0,1,5.207360936846499,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70700.0,LINCOLN PARK,2666.0,2.7,78.8,7.8,3.2,2.4,9.6,42.5,34.1,83.1,15.4,4.6,14.8,44.3,35.6,5.3,58.3,5.0,5.2,3.3,6.3,22.0,4221.0,50.5,49.5,707.0,81.1,2.2478,707.0,1,4.340694270179824,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
71100.0,LINCOLN PARK,1973.0,3.7,74.3,0.0,0.0,0.0,5.3,49.0,40.6,92.5,9.2,4.0,28.8,49.8,18.3,3.2,21.0,2.4,14.7,5.8,5.4,50.7,2861.0,44.7,55.3,711.0,80.5,2.581,711.0,1,3.74069427017983,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
71400.0,LINCOLN PARK,3088.0,1.7,72.1,7.8,1.9,1.5,7.0,38.0,40.2,81.1,22.8,6.1,43.6,49.3,7.1,0.0,30.7,5.6,4.5,3.4,7.2,48.6,4579.0,46.3,53.7,714.0,80.1,1.4849,714.0,1,3.3406942701798243,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
